Date,Value
4/8/08,219
4/9/08,142
4/10/08,150
4/11/08,115
4/12/08,129
4/13/08,110
4/14/08,157
4/15/08,251
4/16/08,273
4/17/08,247
4/18/08,610
4/19/08,204
4/20/08,99
4/21/08,64
4/22/08,64
4/23/08,66
4/24/08,113
4/25/08,125
4/26/08,241
4/27/08,200
4/28/08,244
4/29/08,258
4/30/08,176
5/1/08,266
5/2/08,250
5/3/08,249
5/4/08,72
5/5/08,137
5/6/08,307
5/7/08,117
5/8/08,127
5/9/08,119
5/10/08,72
5/11/08,40
5/12/08,39
5/13/08,78
5/14/08,150
5/15/08,192
5/16/08,271
5/17/08,213
5/18/08,149
5/19/08,117
5/20/08,237
5/21/08,171
5/22/08,151
5/23/08,260
5/24/08,229
5/25/08,175
5/26/08,236
5/27/08,405
5/28/08,190
5/29/08,186
5/30/08,90
5/31/08,364
6/1/08,38
6/2/08,68
6/3/08,115
6/4/08,73
6/5/08,200
6/6/08,199
6/7/08,221
6/8/08,226
6/9/08,121
6/10/08,155
6/11/08,80
6/12/08,124
6/13/08,201
6/14/08,158
6/15/08,160
6/16/08,110
6/17/08,85
6/18/08,165
6/19/08,215
6/20/08,262
6/21/08,270
6/22/08,192
6/23/08,105
6/24/08,152
6/25/08,204
6/26/08,118
6/27/08,178
6/28/08,106
6/29/08,180
6/30/08,160
7/1/08,83
7/2/08,118
7/3/08,139
7/4/08,272
7/5/08,54
7/6/08,42
7/7/08,119
7/8/08,188
7/9/08,67
7/10/08,NaN
7/11/08,170
7/12/08,68
7/13/08,72
7/14/08,154
7/15/08,85
7/16/08,145
7/17/08,144
7/18/08,94
7/19/08,80
7/20/08,69
7/21/08,92
7/22/08,105
7/23/08,198
7/24/08,202
7/25/08,237
7/26/08,181
7/27/08,258
7/28/08,207
7/29/08,174
7/30/08,142
7/31/08,127
8/1/08,44
8/2/08,37
8/3/08,129
8/4/08,190
8/5/08,132
8/6/08,131
8/7/08,172
8/8/08,195
8/9/08,141
8/10/08,156
8/11/08,49
8/12/08,74
8/13/08,92
8/14/08,72
8/15/08,25
8/16/08,28
8/17/08,52
8/18/08,70
8/19/08,64
8/20/08,84
8/21/08,96
8/22/08,67
8/23/08,56
8/24/08,107
8/25/08,92
8/26/08,107
8/27/08,126
8/28/08,183
8/29/08,186
8/30/08,111
8/31/08,37
9/1/08,29
9/2/08,65
9/3/08,114
9/4/08,102
9/5/08,83
9/6/08,189
9/7/08,208
9/8/08,94
9/9/08,97
9/10/08,78
9/11/08,61
9/12/08,92
9/13/08,63
9/14/08,141
9/15/08,83
9/16/08,194
9/17/08,134
9/18/08,130
9/19/08,128
9/20/08,134
9/21/08,174
9/22/08,65
9/23/08,29
9/24/08,36
9/25/08,43
9/26/08,37
9/27/08,87
9/28/08,126
9/29/08,154
9/30/08,226
10/1/08,250
10/2/08,279
10/3/08,326
10/4/08,81
10/5/08,37
10/6/08,56
10/7/08,144
10/8/08,148
10/9/08,115
10/10/08,63
10/11/08,98
10/12/08,117
10/13/08,340
10/14/08,342
10/15/08,121
10/16/08,140
10/17/08,415
10/18/08,295
10/19/08,269
10/20/08,267
10/21/08,218
10/22/08,185
10/23/08,11
10/24/08,69
10/25/08,78
10/26/08,23
10/27/08,82
10/28/08,207
10/29/08,161
10/30/08,196
10/31/08,190
11/1/08,134
11/2/08,81
11/3/08,71
11/4/08,196
11/5/08,214
11/6/08,73
11/7/08,NaN
11/8/08,NaN
11/9/08,NaN
11/10/08,NaN
11/11/08,NaN
11/12/08,NaN
11/13/08,NaN
11/14/08,NaN
11/15/08,NaN
11/16/08,NaN
11/17/08,NaN
11/18/08,NaN
11/19/08,NaN
11/20/08,NaN
11/21/08,NaN
11/22/08,NaN
11/23/08,NaN
11/24/08,NaN
11/25/08,NaN
11/26/08,NaN
11/27/08,NaN
11/28/08,NaN
11/29/08,NaN
11/30/08,NaN
12/1/08,NaN
12/2/08,NaN
12/3/08,NaN
12/4/08,NaN
12/5/08,NaN
12/6/08,NaN
12/7/08,NaN
12/8/08,NaN
12/9/08,NaN
12/10/08,NaN
12/11/08,NaN
12/12/08,NaN
12/13/08,NaN
12/14/08,NaN
12/15/08,NaN
12/16/08,NaN
12/17/08,NaN
12/18/08,NaN
12/19/08,NaN
