Date,Value
1/1/12,NaN
1/2/12,NaN
1/3/12,NaN
1/4/12,NaN
1/5/12,NaN
1/6/12,NaN
1/7/12,NaN
1/8/12,NaN
1/9/12,NaN
1/10/12,NaN
1/11/12,NaN
1/12/12,NaN
1/13/12,NaN
1/14/12,NaN
1/15/12,NaN
1/16/12,NaN
1/17/12,NaN
1/18/12,NaN
1/19/12,NaN
1/20/12,NaN
1/21/12,NaN
1/22/12,NaN
1/23/12,NaN
1/24/12,NaN
1/25/12,NaN
1/26/12,NaN
1/27/12,NaN
1/28/12,NaN
1/29/12,NaN
1/30/12,NaN
1/31/12,NaN
2/1/12,NaN
2/2/12,NaN
2/3/12,NaN
2/4/12,NaN
2/5/12,NaN
2/6/12,NaN
2/7/12,NaN
2/8/12,NaN
2/9/12,NaN
2/10/12,NaN
2/11/12,NaN
2/12/12,NaN
2/13/12,NaN
2/14/12,NaN
2/15/12,NaN
2/16/12,NaN
2/17/12,NaN
2/18/12,NaN
2/19/12,NaN
2/20/12,NaN
2/21/12,NaN
2/22/12,NaN
2/23/12,NaN
2/24/12,NaN
2/25/12,NaN
2/26/12,NaN
2/27/12,NaN
2/28/12,NaN
2/29/12,NaN
3/1/12,NaN
3/2/12,NaN
3/3/12,NaN
3/4/12,NaN
3/5/12,NaN
3/6/12,NaN
3/7/12,NaN
3/8/12,NaN
3/9/12,NaN
3/10/12,NaN
3/11/12,NaN
3/12/12,NaN
3/13/12,NaN
3/14/12,NaN
3/15/12,NaN
3/16/12,NaN
3/17/12,NaN
3/18/12,NaN
3/19/12,NaN
3/20/12,NaN
3/21/12,NaN
3/22/12,NaN
3/23/12,NaN
3/24/12,NaN
3/25/12,NaN
3/26/12,NaN
3/27/12,NaN
3/28/12,NaN
3/29/12,NaN
3/30/12,NaN
3/31/12,NaN
4/1/12,NaN
4/2/12,NaN
4/3/12,NaN
4/4/12,NaN
4/5/12,NaN
4/6/12,NaN
4/7/12,NaN
4/8/12,NaN
4/9/12,NaN
4/10/12,NaN
4/11/12,NaN
4/12/12,NaN
4/13/12,NaN
4/14/12,NaN
4/15/12,NaN
4/16/12,NaN
4/17/12,NaN
4/18/12,NaN
4/19/12,NaN
4/20/12,NaN
4/21/12,NaN
4/22/12,NaN
4/23/12,NaN
4/24/12,NaN
4/25/12,NaN
4/26/12,NaN
4/27/12,NaN
4/28/12,NaN
4/29/12,NaN
4/30/12,NaN
5/1/12,NaN
5/2/12,NaN
5/3/12,NaN
5/4/12,NaN
5/5/12,NaN
5/6/12,NaN
5/7/12,NaN
5/8/12,NaN
5/9/12,NaN
5/10/12,NaN
5/11/12,NaN
5/12/12,NaN
5/13/12,NaN
5/14/12,46
5/15/12,NaN
5/16/12,NaN
5/17/12,NaN
5/18/12,NaN
5/19/12,NaN
5/20/12,NaN
5/21/12,NaN
5/22/12,NaN
5/23/12,NaN
5/24/12,NaN
5/25/12,NaN
5/26/12,NaN
5/27/12,NaN
5/28/12,NaN
5/29/12,NaN
5/30/12,NaN
5/31/12,NaN
6/1/12,NaN
6/2/12,NaN
6/3/12,NaN
6/4/12,69
6/5/12,152
6/6/12,174
6/7/12,117
6/8/12,22
6/9/12,19
6/10/12,20
6/11/12,19
6/12/12,NaN
6/13/12,NaN
6/14/12,NaN
6/15/12,NaN
6/16/12,NaN
6/17/12,NaN
6/18/12,NaN
6/19/12,NaN
6/20/12,NaN
6/21/12,NaN
6/22/12,NaN
6/23/12,NaN
6/24/12,42
6/25/12,49
6/26/12,73
6/27/12,83
6/28/12,120
6/29/12,100
6/30/12,84
7/1/12,89
7/2/12,139
7/3/12,69
7/4/12,60
7/5/12,70
7/6/12,120
7/7/12,88
7/8/12,100
7/9/12,90
7/10/12,53
7/11/12,124
7/12/12,117
7/13/12,117
7/14/12,94
7/15/12,92
7/16/12,96
7/17/12,71
7/18/12,101
7/19/12,126
7/20/12,143
7/21/12,111
7/22/12,46
7/23/12,86
7/24/12,92
7/25/12,100
7/26/12,114
7/27/12,83
7/28/12,90
7/29/12,90
7/30/12,102
7/31/12,118
8/1/12,81
8/2/12,79
8/3/12,91
8/4/12,NaN
8/5/12,NaN
8/6/12,NaN
8/7/12,80
8/8/12,132
8/9/12,96
8/10/12,139
8/11/12,148
8/12/12,120
8/13/12,148
8/14/12,121
8/15/12,59
8/16/12,117
8/17/12,116
8/18/12,71
8/19/12,90
8/20/12,48
8/21/12,57
8/22/12,68
8/23/12,91
8/24/12,103
8/25/12,121
8/26/12,156
8/27/12,175
8/28/12,264
8/29/12,228
8/30/12,232
8/31/12,97
9/1/12,163
9/2/12,43
9/3/12,111
9/4/12,126
9/5/12,117
9/6/12,176
9/7/12,248
9/8/12,161
9/9/12,258
9/10/12,101
9/11/12,68
9/12/12,73
9/13/12,69
9/14/12,138
9/15/12,108
9/16/12,64
9/17/12,109
9/18/12,121
9/19/12,184
9/20/12,270
9/21/12,112
9/22/12,111
9/23/12,131
9/24/12,80
9/25/12,92
9/26/12,88
9/27/12,140
9/28/12,136
9/29/12,267
9/30/12,44
10/1/12,108
10/2/12,106
10/3/12,51
10/4/12,94
10/5/12,92
10/6/12,87
10/7/12,89
10/8/12,111
10/9/12,108
10/10/12,100
10/11/12,86
10/12/12,99
10/13/12,119
10/14/12,107
10/15/12,130
10/16/12,127
10/17/12,133
10/18/12,154
10/19/12,137
10/20/12,190
10/21/12,319
10/22/12,151
10/23/12,162
10/24/12,92
10/25/12,97
10/26/12,184
10/27/12,205
10/28/12,208
10/29/12,145
10/30/12,97
10/31/12,180
11/1/12,175
11/2/12,260
11/3/12,177
11/4/12,142
11/5/12,147
11/6/12,124
11/7/12,130
11/8/12,79
11/9/12,227
11/10/12,182
11/11/12,83
11/12/12,132
11/13/12,259
11/14/12,253
11/15/12,242
11/16/12,104
11/17/12,126
11/18/12,198
11/19/12,185
11/20/12,138
11/21/12,113
11/22/12,163
11/23/12,65
11/24/12,132
11/25/12,109
11/26/12,61
11/27/12,168
11/28/12,174
11/29/12,173
11/30/12,345
12/1/12,239
12/2/12,134
12/3/12,300
12/4/12,177
12/5/12,139
12/6/12,253
12/7/12,276
12/8/12,281
12/9/12,247
12/10/12,180
12/11/12,303
12/12/12,133
12/13/12,127
12/14/12,155
12/15/12,266
12/16/12,181
12/17/12,148
12/18/12,102
12/19/12,100
12/20/12,113
12/21/12,105
12/22/12,99
12/23/12,112
12/24/12,155
12/25/12,172
12/26/12,89
12/27/12,171
12/28/12,183
12/29/12,80
12/30/12,114
12/31/12,173
1/1/13,189
1/2/13,202
1/3/13,100
1/4/13,158
1/5/13,185
1/6/13,191
1/7/13,201
1/8/13,236
1/9/13,280
1/10/13,254
1/11/13,355
1/12/13,409
1/13/13,354
1/14/13,368
1/15/13,389
1/16/13,299
1/17/13,378
1/18/13,313
1/19/13,291
1/20/13,175
1/21/13,127
1/22/13,196
1/23/13,212
1/24/13,238
1/25/13,213
1/26/13,245
1/27/13,228
1/28/13,275
1/29/13,290
1/30/13,202
1/31/13,264
2/1/13,314
2/2/13,338
2/3/13,230
2/4/13,383
2/5/13,374
2/6/13,326
2/7/13,153
2/8/13,53
2/9/13,125
2/10/13,487
2/11/13,109
2/12/13,86
2/13/13,99
2/14/13,92
2/15/13,94
2/16/13,149
2/17/13,130
2/18/13,83
2/19/13,91
2/20/13,136
2/21/13,152
2/22/13,152
2/23/13,132
2/24/13,223
2/25/13,229
2/26/13,155
2/27/13,228
2/28/13,231
3/1/13,114
3/2/13,95
3/3/13,110
3/4/13,129
3/5/13,161
3/6/13,298
3/7/13,222
3/8/13,309
3/9/13,292
3/10/13,349
3/11/13,331
3/12/13,223
3/13/13,230
3/14/13,196
3/15/13,220
3/16/13,176
3/17/13,178
3/18/13,184
3/19/13,84
3/20/13,NaN
3/21/13,NaN
3/22/13,NaN
3/23/13,NaN
3/24/13,NaN
3/25/13,NaN
3/26/13,NaN
3/27/13,NaN
3/28/13,NaN
3/29/13,NaN
3/30/13,NaN
3/31/13,NaN
4/1/13,NaN
4/2/13,NaN
4/3/13,NaN
4/4/13,NaN
4/5/13,NaN
4/6/13,NaN
4/7/13,NaN
4/8/13,NaN
4/9/13,NaN
4/10/13,NaN
4/11/13,NaN
4/12/13,NaN
4/13/13,NaN
4/14/13,NaN
4/15/13,NaN
4/16/13,NaN
4/17/13,NaN
4/18/13,NaN
4/19/13,182
4/20/13,115
4/21/13,92
4/22/13,109
4/23/13,116
4/24/13,88
4/25/13,99
4/26/13,148
4/27/13,265
4/28/13,271
4/29/13,198
4/30/13,83
5/1/13,108
5/2/13,66
5/3/13,257
5/4/13,95
5/5/13,125
5/6/13,82
5/7/13,102
5/8/13,156
5/9/13,38
5/10/13,47
5/11/13,98
5/12/13,136
5/13/13,200
5/14/13,142
5/15/13,87
5/16/13,51
5/17/13,61
5/18/13,42
5/19/13,74
5/20/13,113
5/21/13,98
5/22/13,178
5/23/13,190
5/24/13,119
5/25/13,51
5/26/13,57
5/27/13,153
5/28/13,155
5/29/13,49
5/30/13,49
5/31/13,78
6/1/13,103
6/2/13,66
6/3/13,124
6/4/13,128
6/5/13,152
6/6/13,59
6/7/13,75
6/8/13,76
6/9/13,45
6/10/13,40
6/11/13,61
6/12/13,72
6/13/13,113
6/14/13,88
6/15/13,87
6/16/13,99
6/17/13,115
6/18/13,107
6/19/13,127
6/20/13,63
6/21/13,67
6/22/13,64
6/23/13,45
6/24/13,63
6/25/13,55
6/26/13,107
6/27/13,125
6/28/13,98
6/29/13,164
6/30/13,54
7/1/13,29
7/2/13,NaN
7/3/13,NaN
7/4/13,NaN
7/5/13,73
7/6/13,58
7/7/13,94
7/8/13,110
7/9/13,45
7/10/13,20
7/11/13,67
7/12/13,93
7/13/13,98
7/14/13,103
7/15/13,153
7/16/13,81
7/17/13,310
7/18/13,65
