Date,Value
1/1/13,NaN
1/2/13,NaN
1/3/13,NaN
1/4/13,NaN
1/5/13,NaN
1/6/13,NaN
1/7/13,NaN
1/8/13,NaN
1/9/13,NaN
1/10/13,NaN
1/11/13,NaN
1/12/13,NaN
1/13/13,NaN
1/14/13,NaN
1/15/13,NaN
1/16/13,NaN
1/17/13,NaN
1/18/13,NaN
1/19/13,NaN
1/20/13,NaN
1/21/13,NaN
1/22/13,NaN
1/23/13,NaN
1/24/13,NaN
1/25/13,NaN
1/26/13,NaN
1/27/13,NaN
1/28/13,NaN
1/29/13,NaN
1/30/13,NaN
1/31/13,NaN
2/1/13,NaN
2/2/13,NaN
2/3/13,NaN
2/4/13,NaN
2/5/13,NaN
2/6/13,NaN
2/7/13,NaN
2/8/13,NaN
2/9/13,NaN
2/10/13,NaN
2/11/13,NaN
2/12/13,NaN
2/13/13,NaN
2/14/13,NaN
2/15/13,NaN
2/16/13,NaN
2/17/13,NaN
2/18/13,NaN
2/19/13,NaN
2/20/13,NaN
2/21/13,NaN
2/22/13,NaN
2/23/13,NaN
2/24/13,NaN
2/25/13,NaN
2/26/13,NaN
2/27/13,NaN
2/28/13,NaN
3/1/13,NaN
3/2/13,NaN
3/3/13,NaN
3/4/13,NaN
3/5/13,NaN
3/6/13,NaN
3/7/13,NaN
3/8/13,NaN
3/9/13,NaN
3/10/13,NaN
3/11/13,NaN
3/12/13,NaN
3/13/13,NaN
3/14/13,NaN
3/15/13,NaN
3/16/13,NaN
3/17/13,NaN
3/18/13,NaN
3/19/13,NaN
3/20/13,NaN
3/21/13,NaN
3/22/13,NaN
3/23/13,NaN
3/24/13,NaN
3/25/13,NaN
3/26/13,NaN
3/27/13,NaN
3/28/13,NaN
3/29/13,NaN
3/30/13,NaN
3/31/13,NaN
4/1/13,NaN
4/2/13,NaN
4/3/13,NaN
4/4/13,NaN
4/5/13,NaN
4/6/13,NaN
4/7/13,NaN
4/8/13,NaN
4/9/13,NaN
4/10/13,NaN
4/11/13,NaN
4/12/13,NaN
4/13/13,NaN
4/14/13,NaN
4/15/13,NaN
4/16/13,NaN
4/17/13,NaN
4/18/13,NaN
4/19/13,NaN
4/20/13,NaN
4/21/13,NaN
4/22/13,113
4/23/13,163
4/24/13,150
4/25/13,80
4/26/13,110
4/27/13,210
4/28/13,84
4/29/13,41
4/30/13,65
5/1/13,80
5/2/13,176
5/3/13,150
5/4/13,120
5/5/13,195
5/6/13,300
5/7/13,325
5/8/13,173
5/9/13,77
5/10/13,63
5/11/13,148
5/12/13,187
5/13/13,129
5/14/13,85
5/15/13,73
5/16/13,168
5/17/13,85
5/18/13,69
5/19/13,90
5/20/13,45
5/21/13,51
5/22/13,163
5/23/13,153
5/24/13,125
5/25/13,147
5/26/13,75
5/27/13,59
5/28/13,47
5/29/13,97
5/30/13,95
5/31/13,95
6/1/13,112
6/2/13,118
6/3/13,68
6/4/13,68
6/5/13,88
6/6/13,46
6/7/13,43
6/8/13,113
6/9/13,118
6/10/13,32
6/11/13,47
6/12/13,79
6/13/13,81
6/14/13,113
6/15/13,109
6/16/13,85
6/17/13,110
6/18/13,174
6/19/13,106
6/20/13,61
6/21/13,98
6/22/13,107
6/23/13,91
6/24/13,49
6/25/13,72
6/26/13,75
6/27/13,86
6/28/13,104
6/29/13,51
6/30/13,57
7/1/13,45
7/2/13,34
7/3/13,87
7/4/13,114
7/5/13,58
7/6/13,110
7/7/13,104
7/8/13,81
7/9/13,95
7/10/13,49
7/11/13,48
7/12/13,88
7/13/13,193
7/14/13,147
7/15/13,66
7/16/13,33
7/17/13,71
7/18/13,95
7/19/13,55
7/20/13,60
7/21/13,51
7/22/13,64
7/23/13,58
7/24/13,49
7/25/13,48
7/26/13,84
7/27/13,97
7/28/13,41
7/29/13,35
7/30/13,NaN
7/31/13,NaN
8/1/13,NaN
8/2/13,NaN
8/3/13,NaN
8/4/13,NaN
8/5/13,NaN
8/6/13,NaN
8/7/13,NaN
8/8/13,NaN
8/9/13,NaN
8/10/13,NaN
8/11/13,NaN
8/12/13,NaN
8/13/13,NaN
8/14/13,NaN
8/15/13,NaN
8/16/13,NaN
8/17/13,NaN
8/18/13,NaN
8/19/13,NaN
8/20/13,NaN
8/21/13,NaN
8/22/13,NaN
8/23/13,50
8/24/13,150
8/25/13,74
8/26/13,33
8/27/13,182
8/28/13,64
8/29/13,66
8/30/13,43
8/31/13,113
9/1/13,63
9/2/13,56
9/3/13,93
9/4/13,112
9/5/13,95
9/6/13,77
9/7/13,134
9/8/13,91
9/9/13,60
9/10/13,105
9/11/13,74
9/12/13,64
9/13/13,150
9/14/13,84
9/15/13,44
9/16/13,78
9/17/13,84
9/18/13,140
9/19/13,144
9/20/13,102
9/21/13,90
9/22/13,79
9/23/13,46
9/24/13,106
9/25/13,137
9/26/13,122
9/27/13,100
9/28/13,114
9/29/13,109
9/30/13,297
10/1/13,210
10/2/13,41
10/3/13,75
10/4/13,104
10/5/13,176
10/6/13,253
10/7/13,103
10/8/13,130
10/9/13,162
10/10/13,82
10/11/13,80
10/12/13,129
10/13/13,144
10/14/13,49
10/15/13,53
10/16/13,196
10/17/13,203
10/18/13,141
10/19/13,101
10/20/13,289
10/21/13,300
10/22/13,321
10/23/13,241
10/24/13,59
10/25/13,140
10/26/13,163
10/27/13,136
10/28/13,209
10/29/13,118
10/30/13,229
10/31/13,223
11/1/13,196
11/2/13,176
11/3/13,195
11/4/13,157
11/5/13,117
11/6/13,198
11/7/13,56
11/8/13,78
11/9/13,108
11/10/13,94
11/11/13,49
11/12/13,112
11/13/13,134
11/14/13,116
11/15/13,155
11/16/13,165
11/17/13,50
11/18/13,43
11/19/13,101
11/20/13,115
11/21/13,199
11/22/13,179
11/23/13,275
11/24/13,289
11/25/13,71
11/26/13,126
11/27/13,27
11/28/13,76
11/29/13,94
11/30/13,146
12/1/13,143
12/2/13,173
12/3/13,195
12/4/13,148
12/5/13,123
12/6/13,185
12/7/13,335
12/8/13,273
12/9/13,112
12/10/13,245
12/11/13,102
12/12/13,101
12/13/13,103
12/14/13,118
12/15/13,156
12/16/13,264
12/17/13,262
12/18/13,247
12/19/13,119
12/20/13,99
12/21/13,190
12/22/13,375
12/23/13,583
12/24/13,383
12/25/13,348
12/26/13,95
12/27/13,275
12/28/13,460
12/29/13,224
12/30/13,149
12/31/13,90
1/1/14,104
1/2/14,108
1/3/14,69
1/4/14,279
1/5/14,173
1/6/14,253
1/7/14,136
1/8/14,80
1/9/14,141
1/10/14,188
1/11/14,165
1/12/14,60
1/13/14,302
1/14/14,342
1/15/14,144
1/16/14,343
1/17/14,282
1/18/14,152
1/19/14,199
1/20/14,126
1/21/14,182
1/22/14,226
1/23/14,92
1/24/14,175
1/25/14,226
1/26/14,139
1/27/14,79
1/28/14,62
1/29/14,62
1/30/14,170
1/31/14,553
2/1/14,169
2/2/14,129
2/3/14,37
2/4/14,110
2/5/14,245
2/6/14,136
2/7/14,194
2/8/14,119
2/9/14,87
2/10/14,151
2/11/14,193
2/12/14,191
2/13/14,233
2/14/14,181
2/15/14,244
2/16/14,167
2/17/14,119
2/18/14,89
2/19/14,95
2/20/14,170
2/21/14,242
2/22/14,186
2/23/14,251
2/24/14,286
2/25/14,239
2/26/14,159
2/27/14,139
2/28/14,144
3/1/14,101
3/2/14,130
3/3/14,137
3/4/14,87
3/5/14,72
3/6/14,63
3/7/14,102
3/8/14,98
3/9/14,101
3/10/14,152
3/11/14,151
3/12/14,71
3/13/14,163
3/14/14,281
3/15/14,103
3/16/14,137
3/17/14,164
3/18/14,77
3/19/14,93
3/20/14,60
3/21/14,156
3/22/14,133
3/23/14,243
3/24/14,174
3/25/14,206
3/26/14,226
3/27/14,288
3/28/14,167
3/29/14,195
3/30/14,141
3/31/14,108
4/1/14,132
4/2/14,132
4/3/14,52
4/4/14,103
4/5/14,54
4/6/14,81
4/7/14,108
4/8/14,182
4/9/14,117
4/10/14,83
4/11/14,135
4/12/14,163
4/13/14,149
4/14/14,191
4/15/14,167
4/16/14,101
4/17/14,111
4/18/14,55
4/19/14,68
4/20/14,105
4/21/14,167
4/22/14,101
4/23/14,398
4/24/14,139
4/25/14,296
4/26/14,59
4/27/14,83
4/28/14,73
4/29/14,135
4/30/14,156
5/1/14,136
5/2/14,89
5/3/14,73
5/4/14,25
5/5/14,42
5/6/14,71
5/7/14,43
5/8/14,142
5/9/14,128
5/10/14,113
5/11/14,NaN
5/12/14,51
5/13/14,132
5/14/14,114
5/15/14,57
5/16/14,138
5/17/14,99
5/18/14,77
5/19/14,135
5/20/14,128
5/21/14,152
5/22/14,174
5/23/14,106
5/24/14,177
5/25/14,144
5/26/14,120
5/27/14,104
5/28/14,62
5/29/14,127
5/30/14,169
5/31/14,164
6/1/14,113
