Anshan,Anyang,Baoding,Baoji,Baotou,Beihai,Beijing,Benxi,Binzhou,Cangzhou,Changchun,Changde,Changsha,Changzhi,Changzhou,Chengde,Chengdu,Chifeng,Chongqing,Dalian,Dandong,Danzhou,Daqing,Datong,Deyang,Dezhou,Dongfang,Dongguan,Dongying,Eerduosi,Enshi,Foshan,Fushun,Fuxin,Fuyang,Fuzhou,Guangzhou,Guilin,Guiyang,Haerbin,Haikou,Handan,Hangzhou,Hefei,Hengshui,Heyuan,Heze,Hohhot,Huaian,Huanggang,Huangshi,Huizhou,Huludao,Huzhou,Jiangmen,Jiaozuo,Jiaxing,Jiayuguan,Jieyang,Jilin,Jinan,Jinchang,Jingmen,Jingzhou,Jinhua,Jining,Jinzhong,Jinzhou,Jiujiang,Kaifeng,Kunming,Laiwu,Langfang,Lanzhou,Ledongxian,Lhasa,Lianyungang,Liaocheng,Liaoyang,Linfen,Linyi,Lishui,Liuzhou,Luoyang,Luzhou,Maanshan,Maoming,Meizhou,Mianyang,Mudanjiang,Nanchang,Nanchong,Nanjing,Nanning,Nantong,Ningbo,Panjin,Panzhihua,Pingdingshan,Qianjiang,Qingdao,Qingyuan,Qinhuangdao,Qionghai,Qiqihaer,Quanzhou,Qujing,Quzhou,Rizhao,Sanmenxia,Sanya,Shanghai,Shantou,Shanwei,Shaoguan,Shaoxing,Shennongjia,Shenyang,Shenzhen,Shijiazhuang,Shiyan,Shizuishan,Shuozhou,Suizhou,Suqian,Suzhou,Taian,Taiyuan,Taizhou,Tangshan,Tianjing,Tianmen,Tieling,Tongchuan,Weifang,Weihai,Weinan,Wenzhou,Wuhan,Wuhu,Wuxi,Wuzhishan,Xiamen,Xian,Xiangfan,Xiangtan,Xianning,Xiantao,Xianyang,Xiaogan,Xingtai,Xining,Xinzhou,Xuzhou,Yanan,Yancheng,Yangjiang,Yangquan,Yangzhou,Yantai,Yibin,Yichang,Yinchuan,Yingkou,Yueyang,Yuncheng,Yunfu,Yuxi,Zaozhuang,Zhangjiajie,Zhangjiakou,Zhanjiang,Zhaoqing,Zhengzhou,Zhenjiang,Zhongshan,Zhoushan,Zhuhai,Zhuzhou,Zibo,Zigong,Zunyi
54.22363636,72.16,59.32880688,43.96,29.22,47.28,48.22333333,126.102,59.00168571,74.64375,55.5,32.07,42,44.03,42.862,103.9522222,113.6,136.84,46.11818182,46.06,67.12,48.9,70.99,50.93,227.19,40.32571429,127.16,38.646,66.4,98.11,74.87,78.92,100.04,82.61,50.12,121.35,60.17615385,NaN,118.9966667,76.63538462,75.944,68.80875,69.92571429,100.045,70.41,44.7475,83.39,94.28444444,79.9975,66.74,69.08,52.23142857,49.6,77.1525,70.26666667,68.282,96.67888889,72.28666667,109.7625,69.53714286,65.305,39.744,112.825,92.292,74.68214286,67.90666667,67.12,146.528,104.8825,80.36,75.718,69.0575,80.50090909,72.68,84.55,75.23285714,60.2975,83.0975,145.56,58.24333333,86.27222222,94.01230769,45.94142857,58.92285714,56.475,81.77833333,92.466,96.655,105.732,48.674,39.24888889,86.13714286,70.33,100.56,59.646,94.36526316,89.8775,71.64,63.7325,84.55,99.12,60.975,44.8875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.3,51.00083333,90.36,86.44818182,118.62625,121.35,55.74117647,73.139,66.67857143,84.87333333,96.17,100.0466667,75.44,60.22,77.2325,67.01,72.28333333,66.41571429,60.664,67.44333333,50.12,NaN,42,44.834,33.97,NaN,54.84333333,79.71,156.12,136.35875,111.6666667,101.98,68.33714286,98.11,88.764,78.74,80.02,72.93,64.2775,69.415,83.26,78.74,174.72,156.0025,88.99666667,212.05,153.295,92.05333333,79.96,74.03166667,83.655,112.31,72.43666667,101.984,109.73,113.395,116.99,94.9625,119.414,93.592,73.02857143,263.966,88.46625,88.91,80.6725,72.93,90.36,50.12,80.68,70.55,95.918
88.06129032,132.1414286,68.87763582,75.35,23.035,74.478,69.06,117.862,54.76876531,55.065,70.99,65.18,101.98,129.1,80.90222222,34.085,42.81,55.5,71.39071429,90.36,96.17,55.5,57.44,52.96,191.87,64.14,98.11,56.58,113.3233333,170.68,46.06,65.335,72.93,46.06,44.03,65.18,56.04461538,NaN,74.94714286,61.1975,41.46666667,69.9025,47.86857143,68.93777778,57.15833333,54.1675,56.52,76.05333333,93.75,86.77666667,89.68333333,78.72666667,113.2516667,59.29166667,44.56,67.348,69.616,85.19666667,106.0025,68.13,56.695,62.64,133.585,66.91666667,83.612,58.27,61.04666667,84.87333333,54.65625,64.215,78.354,75.256,71.87363636,72.01666667,96.17,78.93285714,72.546,70.43571429,90.36,57.53,60.68333333,82.22076923,37.84714286,64.7275,59.1725,94.15333333,92.54,113.605,116.278,60.588,52.905,93.1375,90.57444444,86.21142857,93.848,109.3542105,117.726,100.04,92.296,77.77,145.428,65.0275,60.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.79833333,44.1575,35.6,46.252,40.6975,35.91,42.41235294,65.96111111,69.09066667,37.79571429,24.4775,23.874,28.98,62.6625,76.395,76.32,85.52,88.94,68.55,83.31607143,70.025,70.845,62.16,82.408,78.07,69.47,76.38294118,103.92,52.232,25.5975,32.29666667,95.205,67.19923077,96.17,80.53,91.97333333,106.825,95.076,107.6233333,89.80714286,101.3333333,65.11666667,100.7725,86.04,47.5,115.54,131.03,66.18,105.9811111,66.95166667,72.93,68.7,59,64.65,22.085,25.09666667,24.105,42.20333333,71.38,67.12,61.81428571,72.93,48.89285714,41.472,53.096,32.0675,27.7775,29.03714286,32.545,46.252,71.396
165.1521053,185.74,93.22487602,150.4,16.855,95.2,63.00142857,186.222,80.68,49.73875,187.84,119.41,168.66,113.6,105.853,84.16,90.36,103.92,111.67,187.84,111.67,88.42,88.42,78.74,113.6,115.215,531.71,62.126,101.602,237.28,20.18,125.22,74.87,57.44,54.18,88.42,70.30071429,NaN,117.48,78.74,83.002,94.2325,86.67833333,101.354,87.4,64.9675,54.99,61.4775,258.57,110.4633333,244.35,87.65,110.9,70.16285714,100.04,101.0125,87.13166667,111.02,128.605,100.355,88.422,113.6,150.4,89.972,90.43875,81.69857143,96.17,122.578,94.23,82.66666667,138.78,52.228,74.623,63.17166667,119.41,63.25,51.76,79.06333333,92.3,46.06,76.8,57.046,44.755,52.79142857,86.49,238.29,245.91,227.19,136.84,162.61,114.936,150.5,158.5033333,172.09,153.754,206.3366667,254.99,202.97,162.61,239.3,162.61,80.6775,91.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112.3133333,89.3925,121.35,122.342,97.260625,109.73,107.305,139.84,148.455,119.41,55.13,57.44,44.84,94.235,150.4,114.2466667,150.6533333,135.695,139.75,125.22,74.87,76.7975,67.17,157.56,65.18,91.92,119.41,176.7366667,201.96,59.64142857,94.23,244.35,227.19,132.97,109.0833333,169.2483333,134.91,144.59,128.4533333,163.62,161.6,101.98,109.73,115.535,107.79,113.6,149.45,104.275,100.04,89.375,78.44285714,105.53,101.98,109.73,37.94,62.17,70.99,70.27625,129.1,60.27875,47.178,75.824,105.855,64.215,72.162,65.18,55.5,49.32285714,68.962,65.65,136.138
204.37375,215.0071429,101.4899386,184.266,19.47,73.908,70.29428571,181.782,71.31225794,36.49285714,150.4,111.67,148.46,170.68,153.0925,95.34142857,101.98,140.72,94.00307692,166.65,157.56,113.6,113.6,101.98,113.6,153.0257143,72.93,196.954,107.79,288.85,26.84,150.15,80.68,54.18,52.96,78.74,62.43153846,NaN,106.445,114.53,96.03333333,115.1925,67.25333333,124.58,97.785,60.0975,135.774,65.0525,166.195,161.12,148.1466667,101.2,101.0683333,74.09888889,88.425,136.5,97.42066667,95.52666667,133.97,169.2185714,106.5016667,80.77428571,143.67,95.774,119.794375,86.21,78.354,109.145,84.552,91.88333333,120.4433333,67.8825,92.82545455,78.09666667,94.23,53.18714286,49.01666667,78.77,174.3833333,42.802,87.42,59.61833333,43.26,67.53875,71.03666667,219.4716667,200.208,226.8866667,179.564,128.2333333,118.214,185.19,212.5255556,212.9328571,208.0175,205.3478947,213.286,208.0366667,214.918,244.4,189.8175,140.6075,129.75875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.4936364,127.545,105.37,138.06875,113.83375,134.91,123.42375,158.0288889,111.997,89.00571429,67.8025,69.684,54.99,109.73,125.8016667,151.61,177.248,153.53,112.8614286,148.6840741,55.81,78.6925,80.68,159.58,93.93166667,72.355,126.7925,244.9,133.214,92.29857143,89.51666667,111.6633333,66.58153846,98.11,131.52,195.1033333,200.955,190.36,179.2575,178.2685714,209.3633333,76.41,137.41375,143,142.9233333,325.17,129.9,120.5575,160.4836364,113.495,117.9833333,189.9,138.78,146.67,72.93,100.53,95.2,94.235,125.8666667,118.0275,64.37714286,104.912,145.81,132.256,130.258,105.855,117.48,76.46428571,118.445,94.91,153.5233333
175.9794286,160.1185714,97.02096588,68.668,24.7,44.575,73.89833333,160.254,57.34447279,39.945,90.36,54.18,69.06,78.74,76.92111111,87.84333333,111.67,134.91,67.33333333,94.23,136.84,103.92,92.3,101.98,113.6,191.8114286,67.12,242.75,104.565,127.16,28.27,112.9566667,76.8,69.06,65.18,94.23,60.58615385,NaN,79.688,100.2092308,106.8216667,107.065,72.17190476,92.39,73.28333333,41.895,98.86,49.62444444,129.8775,108.4366667,108.0633333,125.2233333,199.7933333,88.4225,71.595,178.75,145.334,98.10666667,73.8975,87.22375,118.9457143,121.35,104.89,80.676,100.3225,94.23,69.06,109.688,79.68,70.455,100.045,64.792,98.409,88.4225,80.68,54.95571429,67.51666667,97.14,172.3633333,48.462,68.73333333,49.19538462,37.92428571,63.74571429,56.365,202.3016667,179.104,194.9,148.5866667,127.8066667,133.366,158.9925,174.2255556,159.775,184.8116667,203.4378947,208.424,179.8816667,182.386,176.735,196.5609091,98.315,121.2925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108.8183333,143.886,145.5125,153.9,120.881875,127.16,127.7747059,151.404,126.2570588,107.4885714,80.68,155.235,140.72,130.605,104.1757143,140.004,172.55,131.03,136.84,361.7275,132.97,149.75,169.2866667,144.59,87.59285714,91.33,123.9266667,129.1,110.876,79.23,71.56333333,155.55,58.21076923,134.91,145.3871429,164.2083333,208.575,160.58,269.5325,172.72,180.4366667,80.75666667,128.66875,153.5325,111.665,721.98,129.45,124.8925,116.2627273,133.7366667,132.3157143,166.1666667,159.82,189.52,57.44,65.1825,69.01333333,76.31888889,130.42,109.41,64.16857143,106.92,136.635,176.394,128.708,81.23285714,70.186,73.64428571,78.09615385,102.24,110.545
100.0445714,102.1185714,71.43163826,69.056,25.655,55.69166667,105.5333333,94.146,64.19087302,56.25,131.03,74.87,115.54,101.98,110.855,90.60888889,125.22,153.53,75.535,181.78,146.53,123.29,125.22,125.22,37.94,100.6916667,70.99,142.77,80.55833333,136.84,NaN,290.7557143,69.06,72.93,74.87,46.06,53.26333333,NaN,89.322,141.8283333,99.39833333,97.5925,58.43809524,84.324,83.2,38.4025,106.0142857,58.18,69.71,62.85666667,87.67166667,129.1,106.5,100.07,125.88,138.78,91.77454545,95.52666667,82.3975,82.58,104.2942857,97.334,97.135,86.46,85.98214286,91.33,90.362,77.77333333,61,128.458,72.825,50.084,49.528,51.40333333,54.99,45.98714286,42.176,50.90142857,100.6933333,91.54,50.66,44.78166667,37.30285714,40.09571429,67.35,104.44,61.428,71.3875,107.19,94.324,53.60666667,103.435,95.396,82.1075,35.555,75.14428571,63.034,78.23833333,97.14,126.4,96.03,102.4266667,128.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.64083333,139.4716667,134.8425,129.5554545,93.078,92.3,119.2876471,111.0155556,114.8565,79.85714286,54.08,72.402,56.9,69.01,101.3883333,100.0433333,99.79,220.125,148.46,130.1225926,93.265,136.8425,148.635,136.84,86.69142857,101.3366667,138.78,153.9481818,137.015,81.78285714,74.22,116.87,42.67428571,177.75,115.6614286,83.04833333,106.76,74.644,72.445,96.96714286,107.5775,108.76,71.23625,88.42333333,102.26,151.51,134.1633333,120.38,99.1575,102.044,157.56,132.005,121.35,143.16,61.31,70.025,80.68,76.37444444,100.0433333,98.94166667,71.0075,99.39666667,121.44,155.6133333,126.6633333,97.552,84.55,59.68,58.67142857,107.1166667,103.814
91.3003125,146.03,70.74118853,61.076,NaN,59.392,76.414,61.002,58.99258095,42.1575,134.91,76.8,86.49,98.11,92.09,112.4971429,144.59,125.22,111.67,74.87,90.36,67.12,57.44,92.3,50.12,95.54571429,84.55,218.1075,102.1375,107.79,34.92,139.1428571,59.37,69.06,74.87,48.9,38.73,NaN,84.34857143,93.66083333,108.4916667,82.76625,41.563,126.195,75.06,39.215,75.55571429,59.37,155.93,146.78,165.93,105.2133333,99.72333333,84.409,71.97333333,84.55,84.77666667,115.54,117.115,59.495,98.11,196.92,176.23,79.954,66.99416667,71.922,78.74,145.7433333,146.53,90.36,72.085,50.83,49.61818182,52.152,48.09,45.76,39.674,54.75285714,111.6666667,37.68666667,55.735,45.27416667,39.50428571,37.3225,45.76,132.88,146.53,132.97,105.064,86.624,57.571,116.4642857,120.2733333,100.86375,114.068,98.17263158,97.396,113.155,102.95,113.605,108.151,74.9725,87.04125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.8275,72.79083333,119.4125,69.69,79.77333333,88.42,103.694,96.656,98.109,66.575,48.61,45.328,45.855,62.575,124.294,129.74,115.967,104.5525,198.8642857,100.43,65.185,59.2,94.9,146.8033333,93.634,104.8225,123.8605882,199.57,155.898,53.85625,63.82666667,129.27,131.035,123.29,79.08833333,85.335,112.635,105.855,92.29666667,112.3133333,104.4,117.48,109.73,107.79,183.1,132.97,151.37,253.48,105.4391667,102.6266667,109.388,128.4516667,123.6783333,138.78,52.96,59.37,45.855,89.845,140.956,97.4175,69.27333333,94.1875,109.7785714,137.81,99.52,59.294,65.424,50.76714286,52.94307692,69.32333333,144.288
130.3931034,162.2471429,70.42924242,73.4125,25.89,75.31,95.685,97.176,75.974,83.75571429,131.03,288.85,170.68,184.81,190.23625,84.82571429,92.3,86.49,88.42,88.42,144.59,125.22,109.73,117.48,50.12,86.55166667,113.6,225.376,122.64,191.87,3.6,178.8542857,136.84,76.8,109.73,61.31,52.91666667,NaN,180.0175,126.7633333,116.475,79.06,42.33714286,109.73,109.5433333,40.99333333,76.515,62.36111111,136.93,184.81,153.9666667,131.4133333,191.87,78.847,64.44666667,97.3425,66.835,117.48,97.46,82.61,71.11857143,88.42,106.025,74.866,110.7892857,45.23,57.44,58.384,60.3325,112.2733333,81.65833333,44.318,46.129,56.41166667,48.09,40.93,34.822,49.18285714,131.68,38.39,68.99333333,49.95153846,28.22857143,33.095,100.65,167.5175,161.6925,183.43,155.598,143.946,104.055,185.7571429,166.848,135.3057143,105.078,159.5468421,158.5575,140.6816667,125.568,132.97,170.7881818,131.945,88.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.50333333,59.44363636,41.8975,46.44818182,66.024375,92.3,83.14647059,78.07375,124.354,61.18,135.9933333,122.124,115.54,84.0675,128.58,153.12,161.93125,149.93375,217.0478571,116.0066667,71.965,85.625,112.425,138.471,96.37714286,80.68,89.75411765,220.4945455,188.1566667,123.92,105.8533333,119.1866667,148.46,115.54,83.43714286,137.61,151.54,128.164,130.3866667,147.435,132.97,81.645,78.255,77.505,400.33,72.93,123.9333333,254.23,70.814,122.38,119.1171429,137.8116667,109.2516667,80.742,100.04,122.315,74.865,75.5875,124.43,103.6266667,70.01857143,303.335,140.74125,166.14,133.5466667,81.83333333,62.392,66.56714286,62.81142857,85.3025,141.892
216.5514706,186.2257143,77.73633892,116.9925,35.545,72.15166667,91.85666667,100.046,76.50333333,70.2225,275.73,150.4,235.26,157.56,198.2122222,49.6,72.93,76.8,71.72357143,69.06,169.67,144.59,123.29,158.57,78.74,107.3933333,140.72,312.256,135.6683333,210.04,14.95,144.9542857,140.72,100.04,157.56,113.6,54.33384615,NaN,198.3825,118.7591667,70.81,66.85875,44.13238095,122.2388889,96.17666667,53.80333333,97.795,67.54888889,194.8875,164.4,172.5983333,155.612,254.8833333,99.347,60.43571429,104.8875,85.92142857,94.235,125.08,175.73,92.13857143,63.95857143,79.455,91.036,101.1785714,34.04666667,32.772,59.846,56.674,118.7233333,84.12,87.804,97.141,126.19,132.97,64.23571429,66.65,49.80142857,132.4466667,43.396,68.23,55.26583333,32.69285714,65.1525,110.6975,203.8233333,233.775,254.7975,195.912,175.1475,132.4411111,251.0471429,207.151,182.2475,172.545,239.8347368,294.882,174.2916667,194.716,181.275,259.8281818,98.17,108.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93.50666667,77.45818182,78.7425,77.192,79.94466667,103.92,72.65470588,105.853,122.2704762,58.57428571,46.2625,60.38,50.64,82.43,126.546,213.0633333,216,165.5566667,218.41,183.8075,88.425,78.8475,146.88,237.335,103.5557143,54.49,148.9975,327.2809091,173.076,77.58,75.51333333,105.5775,80.28,80.68,75.95142857,196.608,177.395,167.434,189.3525,190.9257143,219.7933333,113.605,79.57,85.52,123.0166667,84.55,257.26,67.12,81.48333333,71.27,73.528,93.58833333,67.965,73.896,70.99,62.6,65.01333333,59.84285714,94.23,58.38,45.19285714,515.245,99.4,93.27,91.00666667,60.34,52.73666667,61.68,58.40461538,85.02666667,154.7725
262.5714815,315.9571429,77.40085369,88.812,48.495,101.015,73.29428571,87.022,71.48140873,58.744,105.86,92.3,100.04,109.73,91.57,86.14375,111.67,117.48,87.83583333,164.63,100.04,69.06,63.25,84.55,352.01,91.71285714,55.5,220.348,187.32,219.12,18.28,112.826,111.67,78.74,178.75,96.17,73.965,NaN,100.511,76.75307692,100.3866667,77.82,53.08933333,109.104,66.542,65.21,76.828,55.66625,193.6375,188.0366667,153.085,91.02166667,127.7633333,101.1422222,48.75142857,95.01,89.24071429,234.1833333,95.2,112.395,98.54285714,102.49,204.535,82.636,69.772,34.97333333,33.0625,56.748,61.5825,204.285,103.415,59.658,61.55545455,63.40833333,63.25,56.38142857,49.172,66.58833333,60.49666667,57.84833333,53.69222222,46.03818182,41.14,44.3775,61.7675,186.77,210.258,214.6025,197.726,187.21,160.8544444,159.8485714,195.129,212.31875,209.025,239.0742105,269.046,207.3433333,213.688,181.28,245.8372727,171.68,178.50625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125.7325,171.3427273,107.1466667,105.3322222,108.54125,121.35,94.00588235,107.35,108.2105,73.75,58.1525,104.8875,81.535,115.944,140.2283333,190.83,205.0033333,181.469375,148.9206667,167.655,118.445,173.635,117.2733333,180.239,163.2685714,135.975,135.2270588,268.61,116.562,87.87142857,81.25,104.6275,72.00230769,63.25,109.512,168.66,219.67,184.204,156.9975,182.5366667,181.025,98.11,107.79,106.825,137.81,86.49,321.6833333,93.265,99.08166667,86.17333333,78.74,88.25333333,68.09,85.5175,65.18,70.51,73.57666667,63.135,88.425,68.22444444,54.55857143,500.145,65.46222222,75.252,68.49,51.938,54.768,47.49285714,55.33285714,79.63,95.32333333
